year,month,yearmonth,quarter,cpi_u,cpi_u_nsa
2027,2,Feb-27,2027Q1,294.539,
2027,3,Mar-27,2027Q1,294.539,
2027,4,Apr-27,2027Q2,296.165,
2027,5,May-27,2027Q2,296.165,
2027,6,Jun-27,2027Q2,296.165,
2027,7,Jul-27,2027Q3,297.801,
2027,8,Aug-27,2027Q3,297.801,
2027,9,Sep-27,2027Q3,297.801,
2027,10,Oct-27,2027Q4,299.45,
2027,11,Nov-27,2027Q4,299.45,
2027,12,Dec-27,2027Q4,299.45,
2028,1,Jan-28,2028Q1,301.104,
2028,2,Feb-28,2028Q1,301.104,
2028,3,Mar-28,2028Q1,301.104,
2028,4,Apr-28,2028Q2,302.77,
2028,5,May-28,2028Q2,302.77,
2028,6,Jun-28,2028Q2,302.77,
2028,7,Jul-28,2028Q3,304.447,
2028,8,Aug-28,2028Q3,304.447,
2028,9,Sep-28,2028Q3,304.447,
2028,10,Oct-28,2028Q4,306.133,
2028,11,Nov-28,2028Q4,306.133,
2028,12,Dec-28,2028Q4,306.133,
2029,1,Jan-29,2029Q1,307.834,
2029,2,Feb-29,2029Q1,307.834,
2029,3,Mar-29,2029Q1,307.834,
2029,4,Apr-29,2029Q2,309.542,
2029,5,May-29,2029Q2,309.542,
2029,6,Jun-29,2029Q2,309.542,
2029,7,Jul-29,2029Q3,311.259,
2029,8,Aug-29,2029Q3,311.259,
2029,9,Sep-29,2029Q3,311.259,
2029,10,Oct-29,2029Q4,312.985,
2029,11,Nov-29,2029Q4,312.985,
2029,12,Dec-29,2029Q4,312.985,
2030,1,Jan-30,2030Q1,314.721,
2030,2,Feb-30,2030Q1,314.721,
2030,3,Mar-30,2030Q1,314.721,
2030,4,Apr-30,2030Q2,316.466,
2030,5,May-30,2030Q2,316.466,
2030,6,Jun-30,2030Q2,316.466,
2030,7,Jul-30,2030Q3,318.221,
2030,8,Aug-30,2030Q3,318.221,
2030,9,Sep-30,2030Q3,318.221,
2030,10,Oct-30,2030Q4,319.986,
2030,11,Nov-30,2030Q4,319.986,
2030,12,Dec-30,2030Q4,319.986,
